cmg,ccu,fai,mgl,mgs,cul,cus,kcu,kmg
0.012019503,0.012019503,0.041843962,0.029550064,0.011218448,0.161912515,0.036357452,0.224549977,0.379642079
0.000955888,0.000955888,0.046244948,0.001589902,0.000473705,0.093000262,0.010686437,0.1149076,0.297946203
0.058608999,0.058608999,0.003293233,0.145001157,0.055374812,0.021509721,0.002611278,0.121399921,0.381892211
0.033288589,0.033288589,0.019863165,0.085109614,0.032868471,0.111912503,0.019116912,0.170820162,0.38618988
0.007016445,0.007016445,0.040774757,0.01849536,0.007004017,0.170215067,0.040634616,0.238725139,0.378690502
0.010594541,0.010594541,0.029790909,0.018674163,0.005634066,0.066751723,0.007098857,0.106347168,0.301703809
0.013680411,0.013680411,0.015800071,0.027819214,0.008449863,0.045986126,0.004632958,0.10074686,0.303741969
0.026256218,0.026256218,0.01958624,0.0703584,0.026241702,0.117142622,0.019554128,0.166925817,0.372971838
0.032472146,0.032472146,0.003180664,0.09025293,0.030374714,0.023290214,0.002450691,0.10522406,0.336551003
0.008474663,0.008474663,0.02665899,0.021968437,0.007149499,0.121459291,0.01734907,0.142838557,0.325444131
0.007532259,0.007532259,0.025948504,0.010910896,0.003232124,0.043029767,0.004208445,0.097803112,0.296229007
0.004625339,0.004625339,0.025626399,0.012507321,0.003995951,0.12476804,0.017709792,0.141941735,0.319489
0.014482681,0.014482681,0.037290119,0.032437117,0.011038865,0.127835556,0.01992272,0.15584647,0.34031584
0.019895384,0.019895384,0.02205938,0.053226015,0.018963416,0.120806893,0.019298269,0.159744763,0.356280959
0.006195992,0.006195992,0.020029838,0.018785229,0.006195291,0.131336962,0.020023638,0.152460037,0.329795857
0.008421093,0.008421093,0.035846024,0.015552565,0.004732519,0.086099039,0.009853918,0.114448637,0.304291827
0.015634754,0.015634754,0.027039277,0.030692023,0.009517585,0.07341639,0.008198102,0.111665825,0.310099632
0.027670087,0.027670087,0.022082063,0.034471488,0.010547759,0.029705386,0.002890571,0.097307961,0.305985012
0.001755059,0.001755059,0.048811246,0.001849533,0.000541376,0.052207615,0.005179043,0.099200908,0.292709538
0.009193636,0.009193636,0.031523911,0.023498648,0.007991051,0.137723663,0.02259598,0.164067522,0.340064308
0.040701133,0.040701133,0.008125723,0.090313878,0.030590435,0.031354574,0.003391862,0.10817757,0.338712453
0.016339835,0.016339835,0.015044945,0.04505762,0.014661554,0.087449746,0.010813575,0.123654732,0.325395659
0.028052029,0.028052029,0.012412075,0.071290455,0.023932358,0.063778366,0.007517997,0.117876909,0.335702132
0.025343465,0.025343465,0.018252341,0.053838948,0.017295738,0.059528308,0.006595136,0.110789904,0.321249555
0.054581206,0.054581206,0.00893337,0.112774145,0.040185757,0.030799611,0.00352422,0.114424159,0.35633839
0.051176386,0.051176386,0.01155005,0.111651372,0.040446746,0.045462577,0.005533195,0.121708795,0.362259285
0.00955359,0.00955359,0.021768222,0.018902427,0.005685115,0.059469598,0.006167689,0.103711637,0.300761126
0.036039271,0.036039271,0.008372697,0.051230208,0.016051629,0.013735462,0.00131658,0.095852646,0.313323519
0.010538678,0.010538678,0.016487089,0.031817246,0.010506568,0.115533526,0.016337626,0.141410264,0.330216144
0.00694624,0.00694624,0.035476514,0.017893175,0.006244474,0.151780983,0.028020689,0.184612646,0.348986382
0.036618007,0.036618007,0.005154566,0.061543096,0.019579672,0.011122409,0.001075058,0.096656984,0.318145704
0.026932263,0.026932263,0.022990888,0.069856772,0.026614031,0.124513946,0.02223822,0.178600236,0.380979967
0.0150674,0.0150674,0.024327197,0.039527878,0.013485723,0.120310569,0.01812067,0.150615781,0.341169929
0.022122736,0.022122736,0.028484926,0.053574912,0.019169942,0.121964555,0.019708866,0.161595033,0.357815647
0.046591023,0.046591023,0.001478898,0.08941116,0.029746714,0.004181152,0.000415903,0.099470915,0.332695765
0.027421385,0.027421385,0.028711722,0.040871805,0.012714279,0.050184838,0.005232353,0.104261621,0.31107702
0.031566945,0.031566945,0.005398866,0.053133205,0.016693596,0.011616039,0.001111141,0.095655787,0.314183877
0.059420706,0.059420706,0.003033144,0.149705402,0.057934256,0.022009841,0.002720711,0.123613373,0.386988412
0.032429472,0.032429472,0.025387674,0.079391511,0.031134713,0.122916128,0.022698783,0.184668874,0.392166777
0.014456446,0.014456446,0.031215842,0.024950942,0.007618987,0.067877917,0.007329472,0.107980217,0.305358704
0.036733671,0.036733671,0.019902478,0.040543859,0.012511025,0.022688892,0.002188305,0.096448293,0.308580029
